transaction_id,amfi_code,transaction_date,transaction_type,amount,state,kyc_status,age_group,gender,city_tier
53,120014,2024-01-31,SIP,118781.86,Kerala,Verified,60+,Female,B30
54,120031,2022-11-06,Lumpsum,357615.03,Kerala,Rejected,18-25,Male,T30
55,120031,2025-04-05,Redemption,111245.63,Maharashtra,Verified,46-60,Female,T30
56,120022,2022-03-11,SIP,365203.92,Tamil Nadu,Verified,60+,Male,B30
57,120014,2024-10-11,Lumpsum,199278.87,Kerala,Pending,18-25,Male,T30
58,120026,2025-12-13,Redemption,241453.61,Gujarat,Pending,46-60,Male,T30
59,120033,2023-12-06,Redemption,53740.62,Delhi,Verified,36-45,Female,B30
60,120022,2025-12-31,Redemption,19035.94,Maharashtra,Verified,18-25,Male,T30
61,120011,2025-03-09,Lumpsum,67356.21,Tamil Nadu,Pending,60+,Male,B30
62,120023,2024-09-17,Redemption,497641.85,Gujarat,Verified,26-35,Female,T30
63,120008,2022-10-23,SIP,361106.9,Delhi,Verified,36-45,Female,T30
64,120013,2025-02-24,Redemption,429247.57,Kerala,Verified,60+,Male,T30
65,120010,2023-06-03,Lumpsum,187435.16,Telangana,Rejected,36-45,Male,T30
66,120017,2023-05-23,Redemption,386563.32,Tamil Nadu,Verified,36-45,Female,T30
67,120035,2025-08-04,Redemption,143513.52,West Bengal,Rejected,60+,Female,T30
68,120034,2024-03-31,SIP,286688.43,Kerala,Rejected,26-35,Male,T30
69,120018,2024-09-15,SIP,405359.97,Maharashtra,Pending,60+,Male,B30
70,120017,2023-04-10,Redemption,372163.15,Delhi,Verified,46-60,Female,T30
71,120038,2023-02-15,Lumpsum,267768.87,West Bengal,Pending,26-35,Female,B30
72,120018,2023-01-24,Lumpsum,417316.65,Maharashtra,Verified,36-45,Male,T30
73,120023,2023-03-11,Redemption,486293.54,Kerala,Pending,46-60,Male,B30
74,120018,2024-01-26,Lumpsum,56967.58,Tamil Nadu,Pending,26-35,Female,T30
75,120014,2024-10-29,Lumpsum,103669.54,Karnataka,Rejected,46-60,Male,T30
76,120009,2022-11-12,Lumpsum,162801.37,West Bengal,Pending,36-45,Female,T30
77,120034,2025-12-01,SIP,14462.68,Maharashtra,Rejected,36-45,Female,B30
78,120033,2025-01-18,Lumpsum,109061.2,West Bengal,Verified,26-35,Female,B30
79,120007,2024-10-23,Lumpsum,343727.09,Tamil Nadu,Verified,26-35,Male,T30
80,120035,2025-11-15,Redemption,273278.46,Karnataka,Pending,36-45,Male,B30
81,120015,2025-12-01,SIP,471336.21,Maharashtra,Pending,60+,Female,T30
82,120039,2024-10-15,SIP,404868.63,Telangana,Rejected,18-25,Female,T30
83,120026,2024-05-17,Lumpsum,200127.84,Karnataka,Rejected,60+,Male,T30
84,120016,2025-03-27,SIP,424790.36,West Bengal,Pending,26-35,Male,B30
85,120025,2024-09-09,SIP,236980.68,Karnataka,Pending,46-60,Female,B30
86,120033,2025-04-07,Lumpsum,107321.62,Telangana,Verified,60+,Male,T30
87,120024,2025-06-04,SIP,23894.12,Gujarat,Rejected,60+,Male,B30
88,120036,2022-06-21,Redemption,167223.1,West Bengal,Rejected,26-35,Female,T30
89,120024,2022-06-20,SIP,94857.84,Delhi,Rejected,18-25,Female,T30
90,120028,2022-02-22,Lumpsum,139601.31,Maharashtra,Pending,60+,Male,T30
91,120039,2023-09-09,SIP,81447.72,Delhi,Rejected,46-60,Female,T30
92,120001,2025-03-29,Redemption,104541.93,Kerala,Pending,60+,Male,T30
93,120034,2023-03-26,Redemption,136633.58,Telangana,Rejected,60+,Female,T30
94,120007,2022-04-19,Redemption,135106.16,Kerala,Rejected,36-45,Male,T30
95,120018,2023-03-12,SIP,402359.03,Tamil Nadu,Rejected,18-25,Male,B30
96,120021,2025-01-14,SIP,338437.87,Kerala,Pending,26-35,Female,B30
97,120004,2023-06-20,Redemption,455958.81,West Bengal,Verified,26-35,Male,B30
98,120027,2025-06-05,Redemption,32622.87,Tamil Nadu,Verified,26-35,Male,T30
99,120011,2023-04-11,Lumpsum,424160.37,Karnataka,Rejected,36-45,Female,B30
100,120014,2025-10-15,Lumpsum,321032.64,Kerala,Verified,46-60,Male,T30
101,120027,2022-07-28,Lumpsum,450870.23,Karnataka,Rejected,18-25,Female,T30
102,120008,2025-09-01,Lumpsum,148022.92,Gujarat,Verified,26-35,Female,T30
103,120032,2022-04-17,SIP,229498.49,Telangana,Pending,36-45,Female,T30
104,120026,2024-06-16,Lumpsum,8728.13,Delhi,Verified,60+,Male,B30
105,120030,2023-08-12,Redemption,294847.48,Telangana,Rejected,18-25,Male,B30
106,120009,2023-09-30,Lumpsum,119918.98,Maharashtra,Verified,26-35,Female,B30
107,120020,2025-12-03,Lumpsum,399491.25,Delhi,Verified,26-35,Male,B30
108,120000,2024-03-11,Redemption,423666.11,Karnataka,Rejected,26-35,Male,B30
109,120026,2024-05-22,Lumpsum,393367.21,Tamil Nadu,Verified,18-25,Female,B30
110,120002,2022-11-27,Redemption,17748.55,Tamil Nadu,Verified,46-60,Female,B30
111,120002,2022-01-22,SIP,123657.83,Gujarat,Pending,46-60,Female,B30
112,120025,2024-09-16,Redemption,81413.1,Delhi,Verified,60+,Male,B30
113,120037,2025-12-21,SIP,385729.97,Telangana,Pending,18-25,Female,B30
114,120014,2024-07-28,Redemption,9871.91,West Bengal,Pending,46-60,Male,B30
115,120038,2024-08-18,Lumpsum,384674.82,Kerala,Pending,46-60,Female,T30
116,120038,2022-08-04,SIP,423771.76,Karnataka,Rejected,60+,Male,T30
117,120024,2023-07-01,Lumpsum,457217.79,Maharashtra,Verified,46-60,Male,B30
118,120028,2022-11-21,Lumpsum,364456.25,Gujarat,Verified,26-35,Female,B30
119,120005,2022-07-09,SIP,44084.52,Delhi,Pending,46-60,Female,B30
120,120008,2025-09-15,SIP,186625.88,Maharashtra,Pending,46-60,Male,B30
121,120018,2024-06-28,SIP,367180.26,Maharashtra,Verified,46-60,Female,T30
122,120027,2023-11-03,Redemption,477394.39,West Bengal,Rejected,26-35,Female,T30
123,120021,2023-12-26,SIP,206470.88,Gujarat,Pending,26-35,Female,B30
124,120004,2023-04-09,Lumpsum,493904.73,Tamil Nadu,Verified,36-45,Female,T30
125,120010,2024-06-05,Lumpsum,427765.32,Karnataka,Rejected,60+,Female,T30
126,120039,2025-03-18,Redemption,96467.91,Karnataka,Pending,46-60,Male,T30
127,120001,2024-06-29,SIP,101427.86,Karnataka,Verified,46-60,Female,T30
128,120008,2022-04-10,Redemption,324594.91,Kerala,Verified,46-60,Female,B30
129,120030,2023-05-22,SIP,243238.77,Karnataka,Rejected,36-45,Male,T30
130,120028,2022-01-11,Redemption,105975.43,Tamil Nadu,Verified,60+,Female,T30
131,120012,2022-01-09,SIP,19564.94,Telangana,Verified,26-35,Male,B30
132,120038,2025-08-07,Redemption,296564.92,Telangana,Verified,18-25,Male,T30
133,120005,2022-09-28,Lumpsum,289495.0,Karnataka,Pending,46-60,Male,B30
134,120018,2023-07-15,Lumpsum,394137.29,Tamil Nadu,Verified,46-60,Female,T30
135,120008,2023-08-29,Redemption,169294.42,Gujarat,Pending,60+,Male,B30
136,120008,2024-08-19,Redemption,311345.94,West Bengal,Verified,36-45,Female,T30
137,120007,2025-04-12,SIP,364957.4,Gujarat,Pending,60+,Male,T30
138,120009,2025-10-23,Lumpsum,77339.16,West Bengal,Pending,60+,Male,B30
139,120003,2023-10-18,Lumpsum,119726.7,Gujarat,Pending,60+,Female,T30
140,120036,2023-04-04,SIP,286343.94,Karnataka,Pending,36-45,Female,T30
141,120001,2023-09-29,Redemption,40844.09,Maharashtra,Pending,36-45,Male,B30
142,120010,2022-06-10,SIP,184454.4,Tamil Nadu,Rejected,26-35,Female,B30
143,120001,2022-12-25,Redemption,94299.08,Maharashtra,Verified,46-60,Male,T30
144,120008,2024-12-17,Lumpsum,102139.79,Delhi,Verified,18-25,Male,B30
145,120007,2025-03-12,Redemption,189216.05,West Bengal,Pending,18-25,Male,T30
146,120016,2022-07-11,Redemption,370884.52,Tamil Nadu,Verified,26-35,Female,T30
147,120023,2025-02-28,Redemption,287872.55,Delhi,Pending,18-25,Male,B30
148,120009,2022-03-01,Redemption,132632.01,Maharashtra,Pending,46-60,Female,T30
149,120012,2022-02-23,SIP,244460.34,West Bengal,Verified,36-45,Male,T30
150,120037,2024-11-13,SIP,36502.57,Delhi,Verified,26-35,Male,B30
151,120008,2022-10-18,Redemption,246884.34,Karnataka,Rejected,26-35,Female,T30
152,120033,2025-05-28,Lumpsum,261901.22,Gujarat,Rejected,46-60,Male,B30
153,120039,2023-02-12,Lumpsum,437937.21,Maharashtra,Verified,60+,Female,T30
154,120031,2023-01-29,Redemption,435151.84,Maharashtra,Pending,36-45,Female,B30
155,120023,2022-11-03,SIP,339216.2,Karnataka,Rejected,26-35,Female,T30
156,120023,2022-11-09,Lumpsum,102355.02,Maharashtra,Pending,46-60,Female,T30
157,120034,2023-04-17,SIP,459203.48,West Bengal,Rejected,18-25,Male,B30
158,120026,2022-09-10,Redemption,32606.39,Gujarat,Verified,36-45,Male,T30
159,120009,2024-10-17,Lumpsum,173690.88,Karnataka,Rejected,60+,Male,T30
160,120031,2023-06-03,SIP,331034.08,Tamil Nadu,Rejected,60+,Male,T30
161,120019,2025-05-07,Redemption,156655.33,Gujarat,Verified,46-60,Male,T30
162,120021,2023-03-05,Redemption,229901.64,Kerala,Verified,46-60,Female,B30
163,120005,2024-11-11,Redemption,74227.78,Karnataka,Verified,60+,Female,B30
164,120002,2022-01-25,SIP,71353.49,Maharashtra,Verified,26-35,Female,T30
165,120011,2024-01-17,SIP,340949.44,Kerala,Rejected,18-25,Male,B30
166,120031,2023-07-04,Lumpsum,276508.8,Gujarat,Rejected,46-60,Female,T30
167,120039,2022-07-07,SIP,365204.57,Gujarat,Verified,36-45,Male,B30
168,120033,2022-05-25,SIP,482226.46,Delhi,Verified,36-45,Male,T30
169,120039,2022-10-24,Lumpsum,446578.23,Gujarat,Pending,18-25,Male,B30
170,120011,2022-04-29,Lumpsum,279918.4,Karnataka,Verified,26-35,Male,T30
171,120027,2022-09-18,SIP,158650.47,Tamil Nadu,Verified,36-45,Female,B30
172,120001,2025-06-12,Lumpsum,85242.82,Kerala,Pending,46-60,Male,T30
173,120017,2024-06-26,Lumpsum,192872.83,Kerala,Rejected,26-35,Male,B30
174,120012,2025-03-01,SIP,134891.19,Telangana,Pending,18-25,Male,T30
175,120022,2023-07-01,SIP,462969.13,Tamil Nadu,Verified,26-35,Male,B30
176,120024,2023-07-17,Lumpsum,368067.36,Delhi,Pending,26-35,Male,T30
177,120027,2025-11-28,Lumpsum,436922.78,West Bengal,Rejected,18-25,Female,B30
178,120030,2022-03-22,Redemption,36623.33,Delhi,Pending,60+,Male,B30
179,120026,2024-03-21,Redemption,420919.41,Telangana,Verified,26-35,Male,T30
180,120008,2024-06-19,Lumpsum,230557.49,West Bengal,Pending,46-60,Male,B30
181,120009,2022-07-14,Lumpsum,13944.74,Telangana,Pending,26-35,Male,B30
182,120011,2022-01-25,SIP,329542.96,Maharashtra,Rejected,36-45,Male,T30
183,120030,2023-03-26,Lumpsum,46739.68,Kerala,Pending,36-45,Male,T30
184,120001,2025-09-04,SIP,287763.83,Telangana,Rejected,60+,Male,T30
185,120035,2022-05-07,Redemption,140605.76,Gujarat,Pending,46-60,Female,T30
186,120004,2024-12-08,SIP,175294.18,West Bengal,Verified,18-25,Female,T30
187,120033,2024-07-17,Redemption,450712.6,Telangana,Rejected,60+,Female,B30
188,120033,2024-05-10,Redemption,80540.28,Karnataka,Rejected,60+,Female,B30
189,120019,2024-04-11,Redemption,383421.62,Gujarat,Rejected,60+,Male,B30
190,120003,2023-10-13,Redemption,278904.63,Karnataka,Rejected,26-35,Male,T30
191,120038,2025-03-23,Lumpsum,296618.22,Delhi,Rejected,36-45,Male,T30
192,120034,2025-11-12,Lumpsum,59344.42,Gujarat,Pending,26-35,Female,T30
193,120024,2025-12-24,SIP,359210.58,Delhi,Verified,46-60,Male,T30
194,120022,2023-06-22,Lumpsum,271143.47,Karnataka,Verified,46-60,Female,B30
195,120002,2023-11-26,SIP,374700.46,Tamil Nadu,Rejected,36-45,Female,T30
196,120014,2025-01-14,SIP,132239.25,Maharashtra,Rejected,60+,Female,T30
197,120004,2025-08-02,SIP,223050.25,Kerala,Verified,60+,Female,T30
198,120012,2023-01-12,Lumpsum,153773.03,Tamil Nadu,Rejected,36-45,Female,B30
199,120024,2023-06-04,Lumpsum,25646.13,Delhi,Verified,46-60,Male,B30
200,120018,2025-03-11,Redemption,158983.43,Tamil Nadu,Verified,26-35,Male,T30
201,120007,2023-03-19,Redemption,422224.46,Karnataka,Pending,36-45,Female,B30
202,120038,2025-03-19,SIP,21850.36,Telangana,Pending,26-35,Male,T30
203,120007,2024-10-23,Lumpsum,71699.82,West Bengal,Verified,36-45,Male,T30
204,120035,2022-01-01,Lumpsum,308723.62,Karnataka,Pending,18-25,Male,T30
205,120019,2024-02-05,SIP,113302.91,Gujarat,Verified,36-45,Male,T30
206,120010,2025-08-26,Lumpsum,158859.73,Maharashtra,Rejected,18-25,Male,B30
207,120003,2024-08-04,Redemption,2803.69,Telangana,Rejected,18-25,Female,T30
208,120010,2023-01-03,Lumpsum,384114.49,Gujarat,Pending,18-25,Male,B30
209,120034,2022-03-06,Redemption,305909.21,West Bengal,Verified,26-35,Female,B30
210,120034,2022-11-14,Lumpsum,204941.85,Maharashtra,Pending,60+,Female,T30
211,120003,2022-11-26,Redemption,119329.46,West Bengal,Rejected,46-60,Female,B30
212,120028,2023-12-10,SIP,374588.84,Maharashtra,Pending,60+,Female,T30
213,120033,2024-08-19,Redemption,164029.05,Telangana,Rejected,46-60,Male,T30
214,120025,2022-01-05,SIP,203212.73,Karnataka,Pending,46-60,Female,T30
215,120005,2022-11-26,SIP,212923.02,Kerala,Verified,60+,Male,T30
216,120033,2022-02-11,SIP,214640.73,Kerala,Pending,46-60,Male,T30
217,120019,2025-01-31,Lumpsum,122538.66,Tamil Nadu,Verified,26-35,Female,B30
218,120013,2025-12-18,SIP,182574.03,Kerala,Pending,36-45,Male,T30
219,120001,2025-10-19,SIP,211908.61,Delhi,Rejected,36-45,Male,T30
220,120028,2024-04-19,Redemption,371623.53,West Bengal,Verified,26-35,Female,B30
221,120003,2023-02-28,Lumpsum,373020.55,West Bengal,Verified,18-25,Male,B30
222,120007,2025-04-15,Redemption,391640.05,Tamil Nadu,Pending,46-60,Female,T30
223,120002,2023-07-20,Redemption,345125.97,Delhi,Rejected,26-35,Male,B30
224,120035,2022-10-08,SIP,301451.83,Tamil Nadu,Verified,46-60,Female,B30
225,120021,2024-05-21,Lumpsum,454094.7,Telangana,Pending,36-45,Male,T30
226,120031,2025-12-29,SIP,403080.52,West Bengal,Verified,60+,Female,B30
227,120018,2023-09-24,SIP,209504.51,Telangana,Verified,26-35,Male,B30
228,120035,2025-02-08,Lumpsum,210429.81,Gujarat,Rejected,26-35,Male,T30
229,120000,2025-03-29,SIP,352420.69,Maharashtra,Verified,60+,Male,B30
230,120009,2023-02-14,Redemption,236650.64,Karnataka,Verified,60+,Female,T30
231,120002,2023-08-18,Redemption,172331.21,Kerala,Rejected,46-60,Male,B30
232,120026,2023-01-09,SIP,448526.71,Kerala,Rejected,26-35,Male,B30
233,120032,2024-08-30,SIP,499703.04,Telangana,Rejected,46-60,Male,B30
234,120007,2025-06-21,Redemption,283334.89,Karnataka,Rejected,36-45,Female,T30
235,120002,2025-01-15,Redemption,11914.49,West Bengal,Pending,60+,Female,T30
236,120009,2022-09-12,Lumpsum,361567.64,West Bengal,Verified,36-45,Male,T30
237,120029,2023-12-16,Redemption,260620.04,Kerala,Pending,60+,Male,B30
238,120019,2025-04-18,Lumpsum,95870.71,Karnataka,Verified,36-45,Male,T30
239,120037,2025-12-10,SIP,388296.68,Tamil Nadu,Pending,46-60,Male,T30
240,120028,2023-05-03,Redemption,173955.55,Kerala,Verified,18-25,Male,T30
241,120034,2025-03-02,Lumpsum,217815.68,Delhi,Verified,46-60,Female,T30
242,120037,2022-03-22,Redemption,392286.34,Gujarat,Verified,26-35,Male,T30
243,120018,2022-12-11,Lumpsum,236654.79,Gujarat,Pending,46-60,Female,B30
244,120018,2025-06-30,SIP,322120.18,West Bengal,Rejected,46-60,Male,B30
245,120037,2025-05-20,Lumpsum,287725.12,Delhi,Rejected,46-60,Male,T30
246,120003,2022-09-13,SIP,46966.91,West Bengal,Verified,26-35,Female,T30
247,120032,2025-08-26,SIP,19549.83,Tamil Nadu,Pending,36-45,Female,B30
248,120028,2023-03-16,Lumpsum,77953.44,Gujarat,Pending,60+,Female,B30
249,120022,2023-09-18,SIP,415159.38,West Bengal,Verified,18-25,Male,B30
250,120032,2025-03-22,SIP,197795.97,Karnataka,Rejected,60+,Male,T30
251,120000,2024-05-28,SIP,231555.94,Delhi,Pending,36-45,Female,B30
252,120019,2023-09-30,Redemption,493040.76,West Bengal,Rejected,36-45,Male,B30
253,120027,2024-11-01,Lumpsum,469468.87,Maharashtra,Verified,46-60,Female,B30
254,120014,2025-12-26,Redemption,33893.58,West Bengal,Pending,36-45,Male,B30
255,120032,2024-05-13,SIP,159230.3,Maharashtra,Pending,26-35,Male,B30
256,120025,2025-09-07,SIP,473856.49,Gujarat,Verified,36-45,Male,T30
257,120003,2023-07-19,SIP,43259.36,Karnataka,Rejected,46-60,Male,T30
258,120033,2023-12-03,Lumpsum,56160.34,Tamil Nadu,Pending,36-45,Male,B30
259,120035,2025-07-07,Redemption,389321.62,Karnataka,Pending,26-35,Male,B30
260,120038,2022-05-30,Redemption,222068.73,Tamil Nadu,Verified,18-25,Female,T30
261,120005,2025-04-04,Lumpsum,404163.64,Maharashtra,Pending,46-60,Male,T30
262,120031,2023-01-21,SIP,367072.75,Telangana,Rejected,26-35,Male,B30
263,120006,2025-10-06,Lumpsum,194532.37,Maharashtra,Pending,46-60,Female,T30
264,120028,2025-02-09,SIP,468409.33,Kerala,Rejected,46-60,Male,T30
265,120030,2025-12-06,Redemption,29757.5,Maharashtra,Pending,18-25,Male,B30
266,120016,2024-05-16,Lumpsum,13379.22,Karnataka,Rejected,36-45,Female,T30
267,120009,2025-08-13,Redemption,411091.2,West Bengal,Pending,18-25,Female,T30
268,120018,2022-07-25,SIP,288674.74,Tamil Nadu,Rejected,26-35,Male,B30
269,120002,2024-04-09,Redemption,325240.55,Kerala,Rejected,46-60,Female,B30
270,120022,2025-11-27,SIP,184748.53,Maharashtra,Rejected,36-45,Male,T30
271,120020,2022-12-06,Redemption,436161.15,Kerala,Rejected,36-45,Male,T30
272,120017,2023-12-02,SIP,459465.99,Karnataka,Verified,46-60,Male,B30
273,120024,2023-06-13,SIP,250052.97,Maharashtra,Pending,36-45,Female,B30
274,120037,2025-12-01,SIP,59524.52,Telangana,Verified,36-45,Female,B30
275,120039,2024-10-29,SIP,326385.27,Maharashtra,Pending,36-45,Male,B30
276,120033,2023-03-02,Lumpsum,357035.15,Kerala,Pending,18-25,Male,T30
277,120003,2024-04-02,Lumpsum,383774.6,Tamil Nadu,Verified,60+,Female,T30
278,120004,2022-05-10,SIP,123628.58,Tamil Nadu,Rejected,60+,Female,B30
279,120017,2024-08-11,Redemption,184676.8,Kerala,Rejected,26-35,Male,B30
280,120013,2023-01-20,Redemption,89805.73,Kerala,Pending,36-45,Female,T30
281,120011,2025-09-19,Lumpsum,86871.34,Maharashtra,Rejected,60+,Female,T30
282,120038,2024-10-02,Redemption,120405.2,Delhi,Rejected,46-60,Male,B30
283,120006,2023-11-15,Lumpsum,256246.01,West Bengal,Pending,18-25,Male,B30
284,120012,2023-02-01,Lumpsum,267501.78,Gujarat,Rejected,18-25,Female,B30
285,120031,2025-09-24,Redemption,402250.93,Tamil Nadu,Pending,60+,Female,B30
286,120005,2023-09-28,Redemption,56461.36,Telangana,Pending,26-35,Male,T30
287,120032,2025-10-11,SIP,184321.76,Tamil Nadu,Verified,36-45,Male,B30
288,120011,2023-07-21,Lumpsum,13711.91,Delhi,Verified,36-45,Male,T30
289,120006,2025-06-11,Redemption,80249.06,Delhi,Rejected,60+,Male,T30
290,120029,2024-02-27,SIP,194843.8,Maharashtra,Verified,46-60,Female,B30
291,120038,2025-03-20,Redemption,496602.0,Karnataka,Pending,60+,Female,B30
292,120036,2022-03-18,SIP,356823.15,Telangana,Rejected,26-35,Female,B30
293,120010,2022-11-03,SIP,325199.42,Delhi,Rejected,46-60,Male,B30
294,120015,2023-06-03,SIP,462167.56,Delhi,Rejected,26-35,Male,B30
295,120032,2025-10-13,SIP,78990.39,Maharashtra,Rejected,46-60,Female,B30
296,120010,2025-10-06,Redemption,170777.89,Maharashtra,Pending,60+,Female,T30
297,120035,2024-01-29,Redemption,294624.93,Telangana,Rejected,46-60,Male,B30
298,120036,2024-04-19,Lumpsum,311589.28,Gujarat,Pending,18-25,Female,B30
299,120027,2022-04-06,Lumpsum,381379.7,Gujarat,Rejected,36-45,Female,T30
300,120000,2025-01-29,Redemption,422385.01,Tamil Nadu,Verified,26-35,Female,B30
301,120029,2025-10-23,Redemption,178415.04,Kerala,Verified,46-60,Male,B30
302,120025,2022-03-02,SIP,469354.05,Delhi,Rejected,26-35,Female,T30
303,120000,2023-10-06,SIP,13283.96,Telangana,Rejected,26-35,Female,B30
304,120006,2024-06-24,SIP,350972.65,Gujarat,Rejected,60+,Female,T30
305,120038,2024-08-17,Lumpsum,95747.32,Kerala,Rejected,36-45,Female,B30
306,120038,2023-04-15,SIP,440316.78,Maharashtra,Verified,26-35,Male,B30
307,120028,2023-06-28,Redemption,172801.77,Maharashtra,Pending,60+,Male,B30
308,120007,2024-05-01,Redemption,104833.85,Maharashtra,Verified,46-60,Male,T30
309,120001,2025-05-15,Redemption,154566.78,Kerala,Pending,36-45,Male,T30
310,120021,2023-08-08,Lumpsum,237216.8,Gujarat,Verified,18-25,Male,B30
311,120026,2023-06-06,Redemption,443509.78,Delhi,Pending,26-35,Male,T30
312,120037,2025-10-28,Lumpsum,496505.93,Maharashtra,Pending,60+,Male,B30
313,120014,2024-11-01,Lumpsum,402389.65,Telangana,Pending,26-35,Male,T30
314,120012,2023-05-04,Lumpsum,278356.61,Telangana,Verified,60+,Female,T30
315,120017,2024-09-01,SIP,237865.96,Telangana,Pending,60+,Female,T30
316,120026,2022-11-11,Lumpsum,416689.94,Maharashtra,Rejected,18-25,Male,B30
317,120015,2025-05-30,SIP,417861.82,Tamil Nadu,Rejected,26-35,Male,T30
318,120020,2023-10-07,Redemption,295631.37,Karnataka,Verified,36-45,Male,T30
319,120025,2022-10-14,Redemption,270312.9,Maharashtra,Rejected,60+,Female,T30
320,120016,2022-11-13,SIP,231077.95,Delhi,Verified,36-45,Male,B30
321,120011,2024-07-25,Redemption,114790.76,West Bengal,Rejected,36-45,Male,B30
322,120033,2024-01-25,SIP,425497.71,Karnataka,Pending,36-45,Male,B30
323,120015,2025-07-06,Lumpsum,137295.62,Telangana,Verified,26-35,Male,B30
324,120027,2024-04-19,SIP,345376.87,Maharashtra,Verified,36-45,Male,B30
325,120001,2023-03-23,Lumpsum,73653.92,Telangana,Pending,26-35,Male,T30
326,120034,2023-08-31,SIP,225820.05,Karnataka,Pending,18-25,Male,T30
